Date,Address,Price,PriceType,attr,Href,Pic_url,House,Floor area,Bedroom,Title type,Garage,Land area,Bathroom,Apartment,Section,Covered park,Townhouse
2014-03-10,"147 Stonefields Avenue, Stonefields, Auckland City",980000.0,history,"{'Townhouse': 'Townhouse', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '200m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439869/residential/sale/147-stonefields-avenue-stonefields,"https://mediaserver.realestate.co.nz/listings/42439869/ca44f46b1957120b897fee3454e051bf.crop.10x8.jpg?options=compress,blur",,,4,Freehold,2,200m,2,,,,Townhouse
2012-04-23,"147 Stonefields Avenue, Stonefields, Auckland City",730000.0,history,"{'Townhouse': 'Townhouse', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '200m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439869/residential/sale/147-stonefields-avenue-stonefields,"https://mediaserver.realestate.co.nz/listings/42439869/ca44f46b1957120b897fee3454e051bf.crop.10x8.jpg?options=compress,blur",,,4,Freehold,2,200m,2,,,,Townhouse
2021-06-01,"147 Stonefields Avenue, Stonefields, Auckland City",1950000.0,cv,"{'Townhouse': 'Townhouse', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '200m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439869/residential/sale/147-stonefields-avenue-stonefields,"https://mediaserver.realestate.co.nz/listings/42439869/ca44f46b1957120b897fee3454e051bf.crop.10x8.jpg?options=compress,blur",,,4,Freehold,2,200m,2,,,,Townhouse
2023-10-12T00:07:36,"147 Stonefields Avenue, Stonefields, Auckland City",1800000.0,current,"{'Townhouse': 'Townhouse', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '200m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439869/residential/sale/147-stonefields-avenue-stonefields,"https://mediaserver.realestate.co.nz/listings/42439869/ca44f46b1957120b897fee3454e051bf.crop.10x8.jpg?options=compress,blur",,,4,Freehold,2,200m,2,,,,Townhouse
2021-06-01,"11 Commissariat Road, Mount Wellington, Auckland City",1380000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '558m', 'Title type': 'Freehold', 'Covered park': '1'}",https://www.realestate.co.nz/42431647/residential/sale/11-commissariat-road-mount-wellington,"https://mediaserver.realestate.co.nz/listings/42431647/ffd4622b5a02789256fb9836bae939ed.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,,558m,2,,,1,
2021-06-01,"11 Commissariat Road, Mount Wellington, Auckland City",1175000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '558m', 'Title type': 'Freehold', 'Covered park': '1'}",https://www.realestate.co.nz/42431647/residential/sale/11-commissariat-road-mount-wellington,"https://mediaserver.realestate.co.nz/listings/42431647/ffd4622b5a02789256fb9836bae939ed.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,,558m,2,,,1,
2023-09-28T01:05:51,"11 Commissariat Road, Mount Wellington, Auckland City",1600000.0,current,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '558m', 'Title type': 'Freehold', 'Covered park': '1'}",https://www.realestate.co.nz/42431647/residential/sale/11-commissariat-road-mount-wellington,"https://mediaserver.realestate.co.nz/listings/42431647/ffd4622b5a02789256fb9836bae939ed.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,,558m,2,,,1,
2021-06-01,"59B Raurenga Avenue, Royal Oak, Auckland City",2575000.0,cv,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '441m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42434782/residential/sale/59b-raurenga-avenue-royal-oak,"https://mediaserver.realestate.co.nz/listings/42434782/060e9356b4cf149f014609082808b0b2.crop.10x8.jpg?options=compress,blur",House,,5,Freehold,2,441m,3,,,,
2023-10-04T10:17:47,"59B Raurenga Avenue, Royal Oak, Auckland City",2000000.0,current,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '441m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42434782/residential/sale/59b-raurenga-avenue-royal-oak,"https://mediaserver.realestate.co.nz/listings/42434782/060e9356b4cf149f014609082808b0b2.crop.10x8.jpg?options=compress,blur",House,,5,Freehold,2,441m,3,,,,
2021-06-01,"9B Lydia Avenue, Northcote, North Shore City",1525000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '3', 'Land area': '315m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42431897/residential/sale/9b-lydia-avenue-northcote,"https://mediaserver.realestate.co.nz/listings/42431897/05aa6b116d2e13145d9530917019a6bf.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,1,315m,3,,,,
2023-09-28T12:18:26,"9B Lydia Avenue, Northcote, North Shore City",1600000.0,current,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '3', 'Land area': '315m', 'Title type': 'Freehold', 'Garage': '1'}",https://www.realestate.co.nz/42431897/residential/sale/9b-lydia-avenue-northcote,"https://mediaserver.realestate.co.nz/listings/42431897/05aa6b116d2e13145d9530917019a6bf.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,1,315m,3,,,,
2017-12-13,"52 Intrepid Crescent, Beachlands, Manukau City",1142000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2016-03-31,"52 Intrepid Crescent, Beachlands, Manukau City",930000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2014-09-30,"52 Intrepid Crescent, Beachlands, Manukau City",850000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2010-09-30,"52 Intrepid Crescent, Beachlands, Manukau City",640500.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2006-04-22,"52 Intrepid Crescent, Beachlands, Manukau City",250000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2021-06-01,"52 Intrepid Crescent, Beachlands, Manukau City",1300000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2023-09-27T15:21:23,"52 Intrepid Crescent, Beachlands, Manukau City",1200000.0,current,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '883m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,883m,2,,,,
2013-02-08,"6 Silverwood Drive, Flat Bush, Manukau City",752000.0,history,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '405m', 'Garage': '2'}",https://www.realestate.co.nz/42435139/residential/sale/6-silverwood-drive-flat-bush,"https://mediaserver.realestate.co.nz/listings/42435139/a0fb4ec5bccee82b8445459bb39427ef.crop.10x8.jpg?options=compress,blur",House,,5,,2,405m,3,,,,
2010-01-15,"6 Silverwood Drive, Flat Bush, Manukau City",641500.0,history,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '405m', 'Garage': '2'}",https://www.realestate.co.nz/42435139/residential/sale/6-silverwood-drive-flat-bush,"https://mediaserver.realestate.co.nz/listings/42435139/a0fb4ec5bccee82b8445459bb39427ef.crop.10x8.jpg?options=compress,blur",House,,5,,2,405m,3,,,,
2005-06-30,"6 Silverwood Drive, Flat Bush, Manukau City",552500.0,history,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '405m', 'Garage': '2'}",https://www.realestate.co.nz/42435139/residential/sale/6-silverwood-drive-flat-bush,"https://mediaserver.realestate.co.nz/listings/42435139/a0fb4ec5bccee82b8445459bb39427ef.crop.10x8.jpg?options=compress,blur",House,,5,,2,405m,3,,,,
2003-11-10,"6 Silverwood Drive, Flat Bush, Manukau City",155000.0,history,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '405m', 'Garage': '2'}",https://www.realestate.co.nz/42435139/residential/sale/6-silverwood-drive-flat-bush,"https://mediaserver.realestate.co.nz/listings/42435139/a0fb4ec5bccee82b8445459bb39427ef.crop.10x8.jpg?options=compress,blur",House,,5,,2,405m,3,,,,
2021-06-01,"6 Silverwood Drive, Flat Bush, Manukau City",1350000.0,cv,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Land area': '405m', 'Garage': '2'}",https://www.realestate.co.nz/42435139/residential/sale/6-silverwood-drive-flat-bush,"https://mediaserver.realestate.co.nz/listings/42435139/a0fb4ec5bccee82b8445459bb39427ef.crop.10x8.jpg?options=compress,blur",House,,5,,2,405m,3,,,,
