北京天誉,丰台-十里河,北京市丰台区小红门路312号,3室,建面 150-220㎡,120000- 元/㎡(均价),总价2058-2850(万/套)
航城壹号,大兴-大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,建面 100-175㎡,32000- 元/㎡(均价),总价320-550(万/套)
中建·京西印玥,房山-良乡,阳光北大街中建·京西印玥,2室,建面 73-106㎡,43000- 元/㎡(均价),总价320-490(万/套)
长城璞院,怀柔-怀柔其它,距离怀柔区黄花城水长城东侧1.5公里,5室,建面 200-230㎡,20000- 元/㎡(均价),总价521-626(万/套)
盈科中心·景苑,朝阳-三里屯,北京市朝阳区盈科中心景苑C栋,1室,建面 80-204㎡,150000- 元/㎡(均价),总价1300-3000(万/套)
玖瀛府,昌平-南邵,南金路7号院,3室,建面 177-337㎡,48000- 元/㎡(均价),总价950-1900(万/套)
国誉万和城,丰台-青塔,西四环14号线大瓦窑站北300m,4室,建面 140-180㎡,82000- 元/㎡(均价),总价1100-1330(万/套)
中国铁建·梧桐浅山,平谷-平谷其它,北京市平谷区东南路夏各庄卫生院对面,2室,建面 90-110㎡,15000- 元/㎡(均价),总价135-165(万/套)
路劲御和府,顺义-顺义其它,仁和园三街路劲御和府,1室,建面 68-125㎡,42000- 元/㎡(均价),总价270-530(万/套)
葛洲坝中国府,丰台-玉泉营,丰台东路46号,4室,建面 350-590㎡,125000- 元/㎡(均价),总价3200-4300(万/套)
路劲·御合院,大兴-大兴新机场洋房别墅区,彩凤路路劲·御合院,3室,建面 176-310㎡,26500- 元/㎡(均价),总价530-666(万/套)
首开富力·十號国际,顺义-顺义其它,高白路首开富力·十號国际,1室,建面 590-599㎡,26000- 元/㎡(均价),总价1400(万/套)
公园都会,顺义-顺义其它,北京顺义区顺泰路与外环路交汇处,3室,建面 72-127㎡,39000- 元/㎡(均价),总价410-500(万/套)
合生me悦,大兴-瀛海,大兴区南五环德茂站西200米,2室,建面 52-120㎡,65000- 元/㎡(均价),总价490-760(万/套)
中建宸庐,顺义-马坡,大营四街中建宸庐,3室,建面 170-190㎡,40000- 元/㎡(均价),总价850-1100(万/套)
西山相府,门头沟-城子,城子大街13号,3室,建面 125-143㎡,58000- 元/㎡(均价),总价720-850(万/套)
长安悦玺,石景山-鲁谷,衙门口南路长安悦玺,3室,建面 97-173㎡,79500- 元/㎡(均价),总价770-1400(万/套)
天资陸号院,房山-长阳,昊天北大街天资陸号院,1室,建面 52-333㎡,39000- 元/㎡(均价),总价178-1200(万/套)
朝阳一墅,朝阳-中央别墅区,金港南路朝阳一墅,4室,建面 123-148㎡,64500- 元/㎡(均价),总价950(万/套)
春和景明,通州-潞苑,潞苑中路和京榆旧线交汇处东南春和景明,4室,建面 155-225㎡,69600- 元/㎡(均价),总价1241-1621(万/套)
中建·长安麓府,门头沟-冯村,泰安路中建·长安麓府,4室,建面 70-139㎡,58000- 元/㎡(均价),总价650-800(万/套)
招商中建顺义臻珑府,顺义-马坡,站前北街辅路招商中建顺义臻珑府,2室,建面 78-134㎡,39000- 元/㎡(均价),总价290-530(万/套)
保利锦上一期,朝阳-垡头,化工路保利锦上,,建面 114-155㎡,71000- 元/㎡(均价),总价800(万/套)
金融街武夷·融御（二期）,通州-武夷花园,通胡大街 金融街武夷·融御（二期）,2室,建面 75-176㎡,66000- 元/㎡(均价),总价450-1235(万/套)
和光瑞府,顺义-中央别墅区,北京市顺义区中粮祥云小镇南侧地块,3室,建面 109-152㎡,58000- 元/㎡(均价),总价700-950(万/套)
青云上府,朝阳-中央别墅区,东苇路青云上府,3室,建面 130-163㎡,66000- 元/㎡(均价),总价890-1075(万/套)
和光悦府,朝阳-朝阳其它,南皋路和光悦府,4室,建面 120-170㎡,88000- 元/㎡(均价),总价1050-1500(万/套)
朝阳壹号,朝阳-垡头,东五环朝阳壹号,3室,建面 110-170㎡,71000- 元/㎡(均价),总价780-1240(万/套)
国祥雲著,密云-鼓楼街道,密云区檀营乡新北路,3室,建面 95-158㎡,28500- 元/㎡(均价),总价285-460(万/套)
和锦华宸,顺义-马坡,站前北街辅路和锦华宸,2室,建面 150-280㎡,42000- 元/㎡(均价),总价655-935(万/套)
和锦华宸,顺义-马坡,牛栏山实验一中北和锦华宸,3室,建面 95-126㎡,39000- 元/㎡(均价),总价390-510(万/套)
和悦璞云,大兴-大兴其它,榆南路和悦璞云,1室,建面 52-100㎡,29800- 元/㎡(均价),总价150-341(万/套)
中骏金辉未来云城,大兴-黄村火车站,北京·大兴新城·京雄城际铁路北京大兴站西50米，地铁黄村火车站西800米。,3室,建面 98-151㎡,54000- 元/㎡(均价),总价530-880(万/套)
远洋源山春秋,石景山-石景山其它,北京市石景山区刘娘府北街,3室,建面 210-540㎡,95700- 元/㎡(均价),总价2200-2950(万/套)
德贤华府,大兴-义和庄,兴良路德贤华府,2室,建面 70-144㎡,52000- 元/㎡(均价),总价374-780(万/套)
德贤御府,朝阳-朝阳其它,北京市朝阳区诚源三路,3室,建面 73-145㎡,80000- 元/㎡(均价),总价904-1160(万/套)
国风金海,平谷-平谷其它,平蓟路与环镇东路交汇,3室,建面 296㎡,18900- 元/㎡(均价),总价560(万/套)
北清云际,昌平-回龙观,北京市昌平区二拨子工业园区中路,2室,建面 83-126㎡,62000- 元/㎡(均价),总价525-760(万/套)
绿城沁园,朝阳-豆各庄,黄厂路绿城沁园,2室,建面 55-149㎡,65000- 元/㎡(均价),总价480-1000(万/套)
建发·望京养云,朝阳-朝阳其它,南皋路140号,3室,建面 123-303㎡,70400- 元/㎡(均价),总价880-1200(万/套)
国誉未来悦,通州-九棵树(家乐福),九棵树西路国誉未来悦,3室,建面 40-140㎡,56000- 元/㎡(均价),总价480-670(万/套)
金地北京壹街区,通州-通州其它,徐宋路金地北京壹街区,2室,建面 73-203㎡,45000- 元/㎡(均价),总价315-930(万/套)
熙悦晴翠,丰台-丰台其它,长顺二路熙悦晴翠,1室,建面 56-159㎡,68000- 元/㎡(均价),总价374-1100(万/套)
